-----------
-----------

========================================================================================================================
File Design Information:

Date:       -----------
Time:       -----------
Revision:   -----------
Variant:    -----------
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"TP2","TP26","TopLayer","TP26","2305.000","1900.000","90","Test Point, On-Board, 26AWG"
"R97","RWR80S","TopLayer","RWR80","3262.500","650.000","360","RWR80S, Value, Tolerance"
"R58","RM0705K","BottomLayer","RM0705","1350.000","2327.000","90","RM0705K, VALUE, 1%"
"R57","RM0705K","BottomLayer","RM0705","1425.000","2327.000","270","RM0705K, VALUE, 1%"
"Q9","2N2907AUB","TopLayer","CERSOT-23","1481.500","2319.750","90","2N2907AUB, CERSOT-23"
"D3","1N6642US","TopLayer","1N6642US","1350.000","2277.000","90","1N6642US, SMD"
"D2","1N6642US","TopLayer","1N6642US","2400.000","4502.000","270","1N6642US, SMD"
"R96","RM0705K","BottomLayer","RM0705","550.000","852.000","270","RM0705K, Value, Tolerance"
"Q16","2N2222AUB","TopLayer","CERSOT-23","603.500","859.250","270","2N2222AUB, CERSOT-23"
"TP38","TP26","TopLayer","TP26","2700.000","614.500","90","Test Point, On-Board, 26AWG"
"Q14","2N2222AUB","BottomLayer","CERSOT-23","1594.750","1218.000","180","2N2222AUB, CERSOT-23"
"C56","CDR34BX","TopLayer","CDR34","2837.500","1364.500","270","CDR34BX, Value, Voltage, Tolerance"
"C58","CDR34BX","TopLayer","CDR34","3062.500","1364.500","90","CDR34BX, Value, Voltage, Tolerance"
"C52","CDR34BX","BottomLayer","CDR34","2100.000","2252.000","360","CDR34BX, Value, Voltage, Tolerance"
"D17","1N7068","TopLayer","AXIAL-500mil","2625.000","3014.500","270","1N7068, AXIAL-500mil"
"C28","CDR34BX","BottomLayer","CDR34","2912.500","4302.000","360","CDR34BX, Value, Voltage, Tolerance"
"U9","HCPL-550K","TopLayer","CDIP2-T8","2162.500","2239.500","90","HCPL-550K, CDIP2-T8"
"U8","HCPL-573K","TopLayer","CDIP2-T8","1075.000","877.000","90","HCPL-573K, CDIP2-T8"
"R94","RM0705K","BottomLayer","RM0705","1312.500","2850.000","360","RM0705K, Value, Tolerance"
"R93","RM0705K","BottomLayer","RM0705","2762.500","1127.000","180","RM0705K, Value, Tolerance"
"R92","RM0705K","BottomLayer","RM0705","3262.500","1127.000","180","RM0705K, Value, Tolerance"
"R91","RWR81S","TopLayer","RWR81","3762.500","4202.000","270","RWR81S, Value, Tolerance"
"R90","RM0705K","BottomLayer","RM0705","1925.000","2352.000","270","RM0705K, Value, Tolerance"
"R89","RM0705K","BottomLayer","RM0705","1687.500","2627.000","270","RM0705K, Value, Tolerance"
"D16","1N7068","TopLayer","AXIAL-500mil","2775.000","2827.000","270","1N7068, AXIAL-500mil"
"D14","1N4106UR-1","BottomLayer","DO-213AA","737.500","877.000","270","1N4106UR-1, DO-213AA"
"C69","CWR09E","BottomLayer","CWR09E","2662.500","1552.000","90","CWR09E, Value, Voltage, Tolerance"
"C68","T541X","TopLayer","T541X","2787.500","2277.000","270","T541X, Value, Voltage, Tolerance"
"C67","T541X","TopLayer","T541X","2787.500","1864.500","270","T541X, Value, Voltage, Tolerance"
"C66","M49470-N4","TopLayer","M49470-N4TPL","3262.500","977.000","180","M49470-N4, Value, Voltage, Tolerance"
"C65","CDR34BX","BottomLayer","CDR34","2162.500","4202.000","270","CDR34BX, Value, Voltage, Tolerance"
"C64","CDR34BX","BottomLayer","CDR34","3262.500","977.000","360","CDR34BX, Value, Voltage, Tolerance"
"C63","CDR34BX","BottomLayer","CDR34","2762.500","977.000","360","CDR34BX, Value, Voltage, Tolerance"
"C62","CDR34BX","BottomLayer","CDR34","3262.500","777.000","180","CDR34BX, Value, Voltage, Tolerance"
"C61","CDR34BX","BottomLayer","CDR34","2787.500","1877.000","270","CDR34BX, Value, Voltage, Tolerance"
"TP25","TP26","TopLayer","TP26","400.000","1339.500","90","Test Point, On-Board, 26AWG"
"R86","RM0705K","BottomLayer","RM0705","1862.500","439.500","180","RM0705K, Value, Tolerance"
"R79","RM0705K","BottomLayer","RM0705","2087.500","1814.500","270","RM0705K, Value, Tolerance"
"R76","RM0705K","BottomLayer","RM0705","975.000","814.500","360","RM0705K, Value, Tolerance"
"R69","RM0705K","BottomLayer","RM0705","1350.000","1454.500","270","RM0705K, Value, Tolerance"
"R67","RM0705K","BottomLayer","RM0705","1100.000","1527.000","90","RM0705K, Value, Tolerance"
"R65","RM0705K","BottomLayer","RM0705","1362.500","1652.000","270","RM0705K, Value, Tolerance"
"R64","RM0705K","BottomLayer","RM0705","512.500","1652.000","90","RM0705K, Value, Tolerance"
"R47","RNC50H","TopLayer","RNC50","1912.500","389.500","270","RNC50H, Value, Tolerance"
"R16","RM0705K","TopLayer","RM0705","1137.500","2139.500","0","RM0705K, Value, Tolerance"
"C37","CWR09E","BottomLayer","CWR09E","1087.500","2752.000","90","CWR09E, Value, Voltage, Tolerance"
"C32","CDR31BX","BottomLayer","CDR31","2032.500","3147.000","180","CDR31BX, Value, Voltage, Tolerance"
"C55","CDR34BX","BottomLayer","CDR34","2550.000","1877.000","90","CDR34BX, Value, Voltage, Tolerance"
"C17","CDR34BX","TopLayer","CDR34","1025.000","589.500","360","CDR34BX, Value, Voltage, Tolerance"
"C41","CDR34BX","BottomLayer","CDR34","3000.000","2064.500","270","CDR34BX, Value, Voltage, Tolerance"
"C40","CDR34BX","BottomLayer","CDR34","3262.500","1727.000","90","CDR34BX, Value, Voltage, Tolerance"
"C59","CDR34BX","BottomLayer","CDR34","3062.500","1364.500","270","CDR34BX, Value, Voltage, Tolerance"
"C60","CDR34BX","BottomLayer","CDR34","2762.500","777.000","360","CDR34BX, Value, Voltage, Tolerance"
"R71","RM0705K","BottomLayer","RM0705","1312.500","814.500","180","RM0705K, Value, Tolerance"
"C53","CDR31BX","BottomLayer","CDR31","1762.500","827.000","360","CDR31BX, Value, Voltage, Tolerance"
"C2","M49470-N4","TopLayer","M49470-N4TPL","1225.000","4577.000","180","M49470-N4, Value, Voltage, Tolerance"
"C1","M49470-N3","TopLayer","M49470-N3TPL","2025.000","4977.000","270","M49470-N3, Value, Voltage, Tolerance"
"C5","CLR81T3","TopLayer","CLR81T3","1262.500","3052.000","90","CLR81T3, Value, Voltage, Tolerance"
"C6","CLR81T3","TopLayer","CLR81T3","1687.500","3052.000","90","CLR81T3, Value, Voltage, Tolerance"
"C26","CDR34BX","BottomLayer","CDR34","3462.500","3514.500","270","CDR34BX, Value, Voltage, Tolerance"
"C25","CDR34BX","BottomLayer","CDR34","3650.000","3514.500","270","CDR34BX, Value, Voltage, Tolerance"
"C31","CDR34BX","BottomLayer","CDR34","3087.500","4802.000","360","CDR34BX, Value, Voltage, Tolerance"
"C30","CDR34BX","BottomLayer","CDR34","3137.500","4027.000","360","CDR34BX, Value, Voltage, Tolerance"
"C3","M49470-N4","TopLayer","M49470-N4TPL","-162.500","3577.000","90","M49470-N4, Value, Voltage, Tolerance"
"C27","CDR34BX","BottomLayer","CDR34","2337.500","4202.000","270","CDR34BX, Value, Voltage, Tolerance"
"C4","CDR34BX","TopLayer","CDR34","2350.000","2689.500","90","CDR34BX, Value, Voltage, Tolerance"
"C8","CDR31BX","TopLayer","CDR31","512.500","1652.000","90","CDR31BX, Value, Voltage, Tolerance"
"C7","CDR32BX","TopLayer","CDR32","1462.500","2002.000","90","CDR32BX, Value, Voltage, Tolerance"
"C13","CDR31BX","TopLayer","CDR31","512.500","1477.000","270","CDR31BX, Value, Voltage, Tolerance"
"C16","CWR09E","TopLayer","CWR09E","500.000","1227.000","180","CWR09E, Value, Voltage, Tolerance"
"C51","CDR34BX","BottomLayer","CDR34","912.500","1589.500","270","CDR34BX, Value, Voltage, Tolerance"
"C15","CDR31BX","TopLayer","CDR31","1450.000","1402.000","270","CDR31BX, Value, Voltage, Tolerance"
"C46","CDR31BX","BottomLayer","CDR31","1262.500","1739.500","270","CDR31BX, Value, Voltage, Tolerance"
"C14","T541X","TopLayer","T541X","2550.000","2527.000","270","T541X, Value, Voltage, Tolerance"
"C21","T541X","TopLayer","T541X","2550.000","2164.500","270","T541X, Value, Voltage, Tolerance"
"C22","T541X","TopLayer","T541X","2550.000","1789.500","270","T541X, Value, Voltage, Tolerance"
"C24","M49470-N4","TopLayer","M49470-N4TPL","2762.500","977.000","180","M49470-N4, Value, Voltage, Tolerance"
"C44","CDR34BX","BottomLayer","CDR34","3287.500","1364.500","270","CDR34BX, Value, Voltage, Tolerance"
"C33","CDR34BX","BottomLayer","CDR34","1512.500","3042.000","180","CDR34BX, Value, Voltage, Tolerance"
"C11","T541X","TopLayer","T541X","3262.500","2064.500","270","T541X, Value, Voltage, Tolerance"
"C49","CDR34BX","BottomLayer","CDR34","2837.500","1364.500","90","CDR34BX, Value, Voltage, Tolerance"
"C38","CDR32BP","BottomLayer","CDR32","1475.000","2602.000","270","CDR32BP, Value, Voltage, Tolerance"
"C45","CDR34BX","BottomLayer","CDR34","3000.000","1727.000","270","CDR34BX, Value, Voltage, Tolerance"
"C29","CDR34BP","BottomLayer","CDR34","3587.500","4252.000","90","CDR34BP, Value, Voltage, Tolerance"
"C12","T541X","TopLayer","T541X","3000.000","2064.500","270","T541X, Value, Voltage, Tolerance"
"C50","CDR34BX","TopLayer","CDR34","3000.000","1727.000","270","CDR34BX, Value, Voltage, Tolerance"
"C43","CDR34BX","BottomLayer","CDR34","3550.000","2114.500","270","CDR34BX, Value, Voltage, Tolerance"
"C10","CLR81T2","TopLayer","CLR81T2","3550.000","2127.000","90","CLR81T2, Value, Voltage, Tolerance"
"C39","CDR34BX","BottomLayer","CDR34","3550.000","2489.500","270","CDR34BX, Value, Voltage, Tolerance"
"C34","CDR32BP","BottomLayer","CDR32","1702.500","2952.000","90","CDR32BP, Value, Voltage, Tolerance"
"C36","CDR31BP","BottomLayer","CDR31","1475.000","2814.500","90","CDR31BP, Value, Voltage, Tolerance"
"C48","CDR34BX","BottomLayer","CDR34","3550.000","1727.000","90","CDR34BX, Value, Voltage, Tolerance"
"C42","CDR34BX","BottomLayer","CDR34","1987.500","4202.000","270","CDR34BX, Value, Voltage, Tolerance"
"C9","T541X","TopLayer","T541X","2575.000","4402.000","90","T541X, Value, Voltage, Tolerance"
"C47","CDR34BX","BottomLayer","CDR34","3687.500","4714.500","270","CDR34BX, Value, Voltage, Tolerance"
"C19","CDR31BP","BottomLayer","CDR31","1962.500","1464.500","270","CDR31BP, Value, Voltage, Tolerance"
"C54","CDR34BX","BottomLayer","CDR34","2000.000","1627.000","180","CDR34BX, Value, Voltage, Tolerance"
"C23","T541X","TopLayer","T541X","2075.000","2687.500","90","T541X, Value, Voltage, Tolerance"
"C57","CDR31BX","BottomLayer","CDR31","1875.000","1814.500","270","CDR31BX, Value, Voltage, Tolerance"
"C20","CDR32BX","BottomLayer","CDR32","2575.000","1227.000","360","CDR32BX, Value, Voltage, Tolerance"
"C18","CWR09E","BottomLayer","CWR09E","2425.000","914.500","270","CWR09E, Value, Voltage, Tolerance"
"D9","1N5806US","BottomLayer","1N5806US","387.500","4014.500","90","1N5806US, SMD"
"D8","1N5806US","BottomLayer","1N5806US","387.500","4264.500","90","1N5806US, SMD"
"D1","1N4106UR-1","BottomLayer","DO-213AA","2912.500","4552.000","180","1N4106UR-1, DO-213AA"
"D5","1N7068","TopLayer","AXIAL-500mil","2475.000","3239.500","270","1N7068, AXIAL-500mil"
"D11","1N5418","TopLayer","Axial-600mil","3262.500","2639.500","270","1N5418, AXIAL-600MIL"
"D7","1N5806US","BottomLayer","1N5806US","3737.500","4252.000","270","1N5806US, SMD"
"D12","1N5418","TopLayer","Axial-600mil","3000.000","2639.500","270","1N5418, AXIAL-600MIL"
"D4","1N6622US","TopLayer","D-5D","3450.000","2947.000","90","1N6622US, SMD"
"D10","1N5418","TopLayer","Axial-600mil","3025.000","4289.500","180","1N5418, AXIAL-600MIL"
"D6","1N6642US","TopLayer","1N6642US","1600.000","1652.000","90","1N6642US, SMD"
"D13","1N6642US","BottomLayer","1N6642US","1350.000","627.000","90","1N6642US, SMD"
"E2","EPT24","TopLayer","EPT24","50.000","4577.000","90","E-Point, 24AWG"
"E3","EPT24","TopLayer","EPT24","50.000","4489.500","90","E-Point, 24AWG"
"E1","EPT24","TopLayer","EPT24","487.500","4577.000","90","E-Point, 24AWG"
"E4","EPT24","TopLayer","EPT24","487.500","4489.500","90","E-Point, 24AWG"
"J100","WTB14PR7J-G93","TopLayer","WTB14PR7J-G93","1712.500","-487.500","360","Conn, PCB, 2 Row, 14P"
"L2","CL40000-310","TopLayer","CL40000-310","662.500","3877.000","360","INDUCTOR, CL40000-310"
"L1","CL40000-311","TopLayer","CL40000-311","2137.500","3877.501","357","INDUCTOR, CL40000-311"
"L3","CL40000-310","TopLayer","CL40000-310","287.500","2602.000","360","INDUCTOR, CL40000-310"
"Q1","2N5153","TopLayer","3L_TO5_HS_ALT","2162.500","4514.500","270","2N5153, TO-5"
"Q7","2N2222AUB","BottomLayer","CERSOT-23","2571.500","4321.750","270","2N2222AUB, CERSOT-23"
"Q2","2N7488T3","TopLayer","TO-257AA","2862.501","4802.000","0","2N7488T3, TO-257AA"
"Q8","2N2222AUB","BottomLayer","CERSOT-23","2646.500","4809.250","270","2N2222AUB, CERSOT-23"
"Q10","2N2907AUB","BottomLayer","CERSOT-23","1317.750","2661.000","360","2N2907AUB, CERSOT-23"
"Q11","2N2222AUB","BottomLayer","CERSOT-23","1328.500","2182.250","90","2N2222AUB, CERSOT-23"
"Q12","2N2907AUB","BottomLayer","CERSOT-23","1321.500","2009.250","270","2N2907AUB, CERSOT-23"
"Q4","2N2222AUB","TopLayer","CERSOT-23","1005.250","2380.500","0","2N2222AUB, CERSOT-23"
"Q13","2N2222AUB","BottomLayer","CERSOT-23","1622.250","1403.000","180","2N2222AUB, CERSOT-23"
"Q3","2N7488T3","TopLayer","TO-257AA","3312.500","4802.000","0","2N7488T3, TO-257AA"
"Q6","2N2222AUB","TopLayer","CERSOT-23","1853.500","1816.750","270","2N2222AUB, CERSOT-23"
"Q5","2N2222AUB","TopLayer","CERSOT-23","1544.750","611.000","180","2N2222AUB, CERSOT-23"
"Q15","2N2222AUB","BottomLayer","CERSOT-23","1544.750","843.000","180","2N2222AUB, CERSOT-23"
"R48","RM0705K","BottomLayer","RM0705","2400.000","4552.000","270","RM0705K, Value, Tolerance"
"R1","RWR81S","TopLayer","RWR81","1750.000","4627.000","360","RWR81S, Value, Tolerance"
"R8","RWR81S","TopLayer","RWR81","1525.000","3927.000","270","RWR81S, Value, Tolerance"
"R7","RWR81S","TopLayer","RWR81","1400.000","3927.000","270","RWR81S, Value, Tolerance"
"R55","RWR81S","BottomLayer","RWR81","-212.500","4252.000","270","RWR81S, Value, Tolerance"
"R10","RWR81S","TopLayer","RWR81","962.500","3027.000","90","RWR81S, Value, Tolerance"
"R49","RM0705K","BottomLayer","RM0705","2600.000","4552.000","270","RM0705K, Value, Tolerance"
"R6","RM0705K","BottomLayer","RM0705","2475.000","4864.500","180","RM0705K, Value, Tolerance"
"R4","RM0705K","BottomLayer","RM0705","2312.500","4864.500","180","RM0705K, Value, Tolerance"
"R66","RM0705K","BottomLayer","RM0705","717.500","1489.500","90","RM0705K, Value, Tolerance"
"R18","RM0705K","TopLayer","RM0705","1290.000","2002.000","90","RM0705K, Value, Tolerance"
"R51","RM0705K","BottomLayer","RM0705","2825.000","4752.000","360","RM0705K, Value, Tolerance"
"R52","RM0705K","BottomLayer","RM0705","2825.000","4839.500","360","RM0705K, Value, Tolerance"
"R50","RM0705K","BottomLayer","RM0705","2525.000","4552.000","90","RM0705K, Value, Tolerance"
"R62","RNC50H","BottomLayer","RNC50","1225.000","2539.500","180","RNC50H, Value, Tolerance"
"R19","RM0705K","TopLayer","RM0705","1362.500","2002.000","90","RM0705K, Value, Tolerance"
"R21","RM0705K","TopLayer","RM0705","1575.000","1852.000","270","RM0705K, Value, Tolerance"
"R17","RM0705K","TopLayer","RM0705","1137.500","2052.000","0","RM0705K, Value, Tolerance"
"R33","RM0705K","TopLayer","RM0705","1062.500","1227.000","90","RM0705K, Value, Tolerance"
"R25","RNC50H","TopLayer","RNC50","300.000","1589.500","90","RNC50H, Value, Tolerance"
"R68","RM0705K","BottomLayer","RM0705","512.500","1477.000","270","RM0705K, Value, Tolerance"
"R13","RM0705K","TopLayer","RM0705","1137.500","2227.000","180","RM0705K, Value, Tolerance"
"R30","RM0705K","TopLayer","RM0705","962.500","1227.000","270","RM0705K, Value, Tolerance"
"R26","RNC50H","TopLayer","RNC50","400.000","1589.500","270","RNC50H, Value, Tolerance"
"R14","RM0705K","TopLayer","RM0705","937.500","2052.000","180","RM0705K, Value, Tolerance"
"R63","RM0705K","BottomLayer","RM0705","1462.500","1652.000","270","RM0705K, Value, Tolerance"
"R24","RM0705K","TopLayer","RM0705","1462.500","1652.000","270","RM0705K, Value, Tolerance"
"R15","RM0705K","TopLayer","RM0705","937.500","2139.500","180","RM0705K, Value, Tolerance"
"R12","RM0705K","TopLayer","RM0705","937.500","2227.000","0","RM0705K, Value, Tolerance"
"R23","RM0705K","TopLayer","RM0705","1362.500","1652.000","90","RM0705K, Value, Tolerance"
"R27","RM0705K","TopLayer","RM0705","1350.000","1454.500","270","RM0705K, Value, Tolerance"
